Length (cm),Time (s),Pressure (kPa)
2.1,0.0,105.0686722
2.2,0.774,105.1317947
2.3,0.001,105.1317947
2.4,0.121,105.1317947
2.5,1.0105,105.1317947
2.6,0.0,105.1317947
2.7,0.1425,105.1317947
2.8,0.32,105.1317947
3.1,0.6435,103.8220017
3.2,0.275,103.8220017
3.3,0.4245,103.8220017
3.4,0.156,103.6957566
3.5,0.001,103.6957566
3.6,0.178,103.8851242
3.7,0.449,103.8851242
3.8,0.315,103.8220017
4.1,0.6415,104.1336693
4.2,1.206,104.1336693
4.3,0.8045,104.0705467
4.4,0.5085,105.1949173
4.5,0.8,105.4434624
4.6,0.2325,105.1949173
4.7,0.778,105.4434624
4.8,0.6655,105.3803398
5.1,0.1035,104.0705467
5.2,0.818,104.0705467
5.3,1.0035,104.1336693
5.4,0.7155,104.1967919
5.5,0.1925,104.1967919
5.6,0.1145,104.1967919
5.7,0.3065,104.1336693
5.8,0.779,104.1336693
6.1,1.474,104.0705467
6.2,1.167,104.0074242
6.3,0.7685,104.1336693
6.4,0.52,105.63283
6.5,0.824,105.5697075
6.6,0.5075,105.63283
6.7,0.846,105.6959526
6.8,0.6555,105.63283
7.1,0.3975,104.0705467
7.2,0.3255,104.0705467
7.3,0.077,104.1336693
7.4,0.896,104.1336693
7.5,0.6965,104.1967919
7.6,0.3055,104.1967919
7.7,0.1345,104.1336693
7.8,0.196,104.1336693
8.1,1.6185,103.8851242
8.2,1.0085,103.9443016
8.3,2.035,104.0074242
8.4,0.3915,105.6959526
8.5,0.426,105.63283
8.6,0.4485,105.63283
8.7,0.691,105.5697075
8.8,0.7035,105.5697075
10.1,0.01,103.632634
10.2,0.036,103.632634
10.3,0.0285,103.632634
10.4,0.4785,105.5697075
10.5,0.5675,105.5697075
10.6,0.4925,105.63283
10.7,0.3765,105.5697075
10.8,0.4625,105.5697075
12.1,0.02,103.5695114
12.2,0.0115,103.5695114
12.3,0.9975,103.632634
12.4,0.7655,105.5697075
12.5,0.596,105.5065849
12.6,0.6155,105.5697075
12.7,0.335,105.4434624
12.8,0.8795,105.5697075
14.1,0.001,103.8220017
14.2,0.0085,103.8220017
14.3,0.0115,103.8220017
14.4,0.0765,105.4434624
14.5,0.056,105.4434624
14.6,0.4185,105.5065849
14.7,0.0145,105.4434624
14.8,0.036,105.4434624
16.1,0.055,103.8851242
16.2,0.5465,103.8851242
16.3,0.0,103.9443016
16.4,0.0355,105.4434624
16.5,0.0,105.4434624
16.6,0.005,105.4434624
16.7,0.8645,105.5065849
16.8,0.6195,105.5065849
Length (cm),Time (s),Pressure (kPa)
2.1,0.0,105.0686722
2.2,0.774,105.1317947
2.3,0.001,105.1317947
2.4,0.121,105.1317947
2.5,1.0105,105.1317947
2.6,0.0,105.1317947
2.7,0.1425,105.1317947
2.8,0.32,105.1317947
3.1,0.6435,103.8220017
3.2,0.275,103.8220017
3.3,0.4245,103.8220017
3.4,0.156,103.6957566
3.5,0.001,103.6957566
3.6,0.178,103.8851242
3.7,0.449,103.8851242
3.8,0.315,103.8220017
4.1,0.6415,104.1336693
4.2,1.206,104.1336693
4.3,0.8045,104.0705467
4.4,0.5085,105.1949173
4.5,0.8,105.4434624
4.6,0.2325,105.1949173
4.7,0.778,105.4434624
4.8,0.6655,105.3803398
5.1,0.1035,104.0705467
5.2,0.818,104.0705467
5.3,1.0035,104.1336693
5.4,0.7155,104.1967919
5.5,0.1925,104.1967919
5.6,0.1145,104.1967919
5.7,0.3065,104.1336693
5.8,0.779,104.1336693
6.1,1.474,104.0705467
6.2,1.167,104.0074242
6.3,0.7685,104.1336693
6.4,0.52,105.63283
6.5,0.824,105.5697075
6.6,0.5075,105.63283
6.7,0.846,105.6959526
6.8,0.6555,105.63283
7.1,0.3975,104.0705467
7.2,0.3255,104.0705467
7.3,0.077,104.1336693
7.4,0.896,104.1336693
7.5,0.6965,104.1967919
7.6,0.3055,104.1967919
7.7,0.1345,104.1336693
7.8,0.196,104.1336693
8.1,1.6185,103.8851242
8.2,1.0085,103.9443016
8.3,2.035,104.0074242
8.4,0.3915,105.6959526
8.5,0.426,105.63283
8.6,0.4485,105.63283
8.7,0.691,105.5697075
8.8,0.7035,105.5697075
10.1,0.01,103.632634
10.2,0.036,103.632634
10.3,0.0285,103.632634
10.4,0.4785,105.5697075
10.5,0.5675,105.5697075
10.6,0.4925,105.63283
10.7,0.3765,105.5697075
10.8,0.4625,105.5697075
12.1,0.02,103.5695114
12.2,0.0115,103.5695114
12.3,0.9975,103.632634
12.4,0.7655,105.5697075
12.5,0.596,105.5065849
12.6,0.6155,105.5697075
12.7,0.335,105.4434624
12.8,0.8795,105.5697075
14.1,0.001,103.8220017
14.2,0.0085,103.8220017
14.3,0.0115,103.8220017
14.4,0.0765,105.4434624
14.5,0.056,105.4434624
14.6,0.4185,105.5065849
14.7,0.0145,105.4434624
14.8,0.036,105.4434624
16.1,0.055,103.8851242
16.2,0.5465,103.8851242
16.3,0.0,103.9443016
16.4,0.0355,105.4434624
16.5,0.0,105.4434624
16.6,0.005,105.4434624
16.7,0.8645,105.5065849
16.8,0.6195,105.5065849
Length (cm),Time (s),Pressure (kPa)
2.1,0.0,105.0686722
2.2,0.774,105.1317947
2.3,0.001,105.1317947
2.4,0.121,105.1317947
2.5,1.0105,105.1317947
2.6,0.0,105.1317947
2.7,0.1425,105.1317947
2.8,0.32,105.1317947
3.1,0.6435,103.8220017
3.2,0.275,103.8220017
3.3,0.4245,103.8220017
3.4,0.156,103.6957566
3.5,0.001,103.6957566
3.6,0.178,103.8851242
3.7,0.449,103.8851242
3.8,0.315,103.8220017
4.1,0.6415,104.1336693
4.2,1.206,104.1336693
4.3,0.8045,104.0705467
4.4,0.5085,105.1949173
4.5,0.8,105.4434624
4.6,0.2325,105.1949173
4.7,0.778,105.4434624
4.8,0.6655,105.3803398
5.1,0.1035,104.0705467
5.2,0.818,104.0705467
